id,url,created_at,updated_at
1,http://example.com,2014-12-20 11:22:29.623710,2014-12-20 11:22:29.623710
2,http://example.com,2014-12-20 11:23:23.708120,2014-12-20 11:23:23.708120
3,http://example.com,2014-12-20 11:23:24.397493,2014-12-20 11:23:24.397493
4,http://example.com,2014-12-20 11:30:29.546998,2014-12-20 11:30:29.546998
5,http://example.com,2014-12-20 11:49:35.871179,2014-12-20 11:49:35.871179
6,http://example.com,2014-12-20 11:49:37.014729,2014-12-20 11:49:37.014729
7,http://example.com,2014-12-20 11:49:37.815719,2014-12-20 11:49:37.815719
8,http://example.com,2014-12-20 11:49:38.204853,2014-12-20 11:49:38.204853
9,http://example.com,2014-12-20 11:49:38.511874,2014-12-20 11:49:38.511874
10,http://example.com,2014-12-20 11:49:38.845092,2014-12-20 11:49:38.845092
11,http://example.com,2014-12-20 11:49:39.131299,2014-12-20 11:49:39.131299
12,http://example.com,2014-12-20 11:58:38.274900,2014-12-20 11:58:38.274900
13,http://example.com,2014-12-20 11:58:39.025796,2014-12-20 11:58:39.025796
14,http://example.com,2014-12-20 11:58:48.865298,2014-12-20 11:58:48.865298
15,http://example.com,2014-12-20 11:59:05.142620,2014-12-20 11:59:05.142620
16,http://example.com,2014-12-20 12:04:10.545181,2014-12-20 12:04:10.545181
17,http://example.com,2014-12-20 12:08:06.423074,2014-12-20 12:08:06.423074
18,http://example.com,2014-12-20 12:09:40.199120,2014-12-20 12:09:40.199120
19,http://example.com,2014-12-20 12:09:49.189841,2014-12-20 12:09:49.189841
20,http://example.com,2014-12-20 12:12:49.767738,2014-12-20 12:12:49.767738
21,http://example.com,2014-12-20 12:15:36.836639,2014-12-20 12:15:36.836639
22,http://example.com,2014-12-20 12:15:42.144722,2014-12-20 12:15:42.144722
23,http://example.com,2014-12-20 12:16:42.894825,2014-12-20 12:16:42.894825
24,http://example.com,2014-12-20 12:16:43.731439,2014-12-20 12:16:43.731439
25,http://example.com,2014-12-20 12:18:20.315404,2014-12-20 12:18:20.315404
26,http://example.com,2014-12-20 12:18:26.959931,2014-12-20 12:18:26.959931
27,http://example.com,2014-12-20 12:18:33.012546,2014-12-20 12:18:33.012546
28,http://example.com,2014-12-20 12:18:34.239729,2014-12-20 12:18:34.239729
29,http://example.com,2014-12-20 12:18:41.923389,2014-12-20 12:18:41.923389
30,http://example.com,2014-12-21 04:44:35.974995,2014-12-21 04:44:35.974995
31,http://example.com,2014-12-21 05:36:39.919855,2014-12-21 05:36:39.919855
32,http://example.com,2014-12-21 05:36:57.540322,2014-12-21 05:36:57.540322
33,http://example.com,2014-12-21 13:53:13.593416,2014-12-21 13:53:13.593416
34,http://example.com,2014-12-21 13:53:13.869256,2014-12-21 13:53:13.869256
35,http://example.com,2014-12-23 06:34:29.269866,2014-12-23 06:34:29.269866
36,http://example.com,2014-12-23 06:55:18.068623,2014-12-23 06:55:18.068623
37,http://example.com,2014-12-23 06:55:30.201873,2014-12-23 06:55:30.201873
38,http://example.com,2014-12-23 06:55:38.417443,2014-12-23 06:55:38.417443
39,http://example.com,2014-12-23 07:04:43.544579,2014-12-23 07:04:43.544579
40,http://example.com,2014-12-23 09:33:58.664695,2014-12-23 09:33:58.664695
41,http://example.com,2014-12-23 10:02:09.873386,2014-12-23 10:02:09.873386
42,http://example.com,2014-12-23 10:05:20.938660,2014-12-23 10:05:20.938660
43,http://example.com,2014-12-23 10:05:32.332328,2014-12-23 10:05:32.332328
44,http://hogehoge1111.com,2014-12-23 10:21:14.040696,2014-12-23 10:21:14.040696
45,https://kaizenplatform.net/offers/5553,2014-12-28 09:52:25.886154,2014-12-28 09:52:25.886154
46,http://qiita.com/higuma/items/838f4f58bc4a0645950a,2014-12-28 12:07:44.139690,2014-12-28 12:07:44.139690
47,http://www.amazon.co.jp/,2014-12-31 05:59:58.307638,2014-12-31 05:59:58.307638
